2026-02-24 15:13:39 UTC-6
20 uM IC standard G5
-3689fb28:19c913099aa:-7fb5

Anion General
7796
min,µS/cm
0.0,1.209042966928819
0.001683333333333259,1.2090709066060699
0.003350000000000186,1.2090941896704464
0.005016666666666225,1.2091174727348228
0.006683333333333152,1.2091454124120742
0.00835000000000008,1.2091686954764507
0.010016666666667007,1.2091919785408267
0.011683333333333046,1.2092152616052028
0.013349999999999973,1.209233888056704
0.0150166666666669,1.20925717112108
0.01668333333333294,1.2092757975725812
0.018349999999999866,1.209294424024082
0.020016666666666794,1.2093130504755827
0.02168333333333372,1.2093316769270839
0.02334999999999976,1.209350303378585
0.025016666666666687,1.2093689298300858
0.026683333333333614,1.2093828996687117
0.028349999999999653,1.2093968695073372
0.03001666666666658,1.2094154959588383
0.03169999999999984,1.2094294657974638
0.033350000000000435,1.2094434356360901
0.035033333333333694,1.2094620620875909
0.03669999999999973,1.2094806885390916
0.03836666666666666,1.2094993149905928
0.04003333333333359,1.209517941442094
0.041699999999999626,1.2095365678935948
0.04336666666666655,1.2095598509579712
0.04503333333333348,1.2095831340223473
0.04670000000000041,1.2096064170867233
0.04836666666666645,1.2096297001510994
0.050033333333333374,1.2096529832154759
0.0517000000000003,1.2096762662798524
0.05336666666666634,1.209694892731353
0.05503333333333327,1.2097181757957296
0.056700000000000195,1.2097368022472303
0.058366666666666234,1.209755428698731
0.06003333333333316,1.209769398537357
0.06170000000000009,1.2097880249888577
0.06336666666666702,1.209806651440359
0.06503333333333305,1.2098252778918601
0.06671666666666631,1.2098392477304856
0.06838333333333324,1.2098532175691115
0.07005000000000017,1.2098671874077374
0.0717166666666671,1.2098811572463628
0.07338333333333313,1.2098951270849887
0.07505000000000006,1.2099090969236146
0.07671666666666699,1.2099184101493652
0.07838333333333303,1.2099323799879906
0.08004999999999995,1.209946349826616
0.08171666666666688,1.2099603196652424
0.08338333333333292,1.2099789461167432
0.08504999999999985,1.209997572568244
0.08671666666666678,1.210016199019745
0.0883833333333337,1.2100394820841212
0.09004999999999974,1.2100581085356223
0.09171666666666667,1.2100720783742478
0.0933833333333336,1.2100860482128737
0.09504999999999963,1.2100953614386243
